date,sku_id,actual_sales,baseline_forecast,ml_forecast,lower_bound,upper_bound,ml_lower_bound,ml_upper_bound,std_error
2024-01-07,SKU_001,3.0,0.0,,,,,,0.0
2024-01-14,SKU_001,1.0,0.0,,,,,,0.0
2024-01-21,SKU_001,5.0,0.0,,,,,,0.0
2024-01-28,SKU_001,4.0,0.0,,,,,,0.0
2024-02-04,SKU_001,7.0,0.0,,,,,,0.0
2024-02-11,SKU_001,5.0,0.0,,,,,,0.0
2024-02-18,SKU_001,5.0,0.0,,,,,,0.0
2024-02-25,SKU_001,6.0,0.0,,,,,,0.0
2024-03-03,SKU_001,5.0,0.0,,,,,,0.0
2024-03-10,SKU_001,6.0,0.0,,,,,,0.0
2024-03-17,SKU_001,5.0,0.0,,,,,,0.0
2024-03-24,SKU_001,3.0,0.0,,,,,,0.0
2024-03-31,SKU_001,2.0,0.0,,,,,,0.0
2024-04-07,SKU_001,4.0,0.0,,,,,,0.0
2024-04-14,SKU_001,1.0,0.0,,,,,,0.0
2024-04-21,SKU_001,5.0,0.0,,,,,,0.0
2024-04-28,SKU_001,5.0,0.0,,,,,,0.0
2024-05-05,SKU_001,4.0,0.0,,,,,,0.0
2024-05-12,SKU_001,5.0,0.0,,,,,,0.0
2024-05-19,SKU_001,1.0,0.0,,,,,,0.0
2024-05-26,SKU_001,4.0,0.0,,,,,,0.0
2024-06-02,SKU_001,3.0,0.0,,,,,,0.0
2024-06-09,SKU_001,4.0,0.0,,,,,,0.0
2024-06-16,SKU_001,6.0,0.0,,,,,,0.0
2024-06-23,SKU_001,4.0,0.0,,,,,,0.0
2024-06-30,SKU_001,4.0,0.0,,,,,,0.0
2024-07-07,SKU_001,3.0,0.0,,,,,,0.0
2024-07-14,SKU_001,2.0,0.0,,,,,,0.0
2024-07-21,SKU_001,4.0,0.0,,,,,,0.0
2024-07-28,SKU_001,3.0,0.0,,,,,,0.0
2024-08-04,SKU_001,2.0,0.0,,,,,,0.0
2024-08-11,SKU_001,3.0,0.0,,,,,,0.0
2024-08-18,SKU_001,5.0,0.0,,,,,,0.0
2024-08-25,SKU_001,6.0,0.0,,,,,,0.0
2024-09-01,SKU_001,4.0,0.0,,,,,,0.0
2024-09-08,SKU_001,3.0,0.0,,,,,,0.0
2024-09-15,SKU_001,6.0,0.0,,,,,,0.0
2024-09-22,SKU_001,3.0,0.0,,,,,,0.0
2024-09-29,SKU_001,3.0,0.0,,,,,,0.0
2024-10-06,SKU_001,10.0,0.0,,,,,,0.0
2024-10-13,SKU_001,7.0,0.0,,,,,,0.0
2024-10-20,SKU_001,8.0,0.0,,,,,,0.0
2024-10-27,SKU_001,7.0,0.0,,,,,,0.0
2024-11-03,SKU_001,11.0,0.0,,,,,,0.0
2024-11-10,SKU_001,8.0,0.0,,,,,,0.0
2024-11-17,SKU_001,9.0,0.0,,,,,,0.0
2024-11-24,SKU_001,6.0,0.0,,,,,,0.0
2024-12-01,SKU_001,4.0,0.0,,,,,,0.0
2024-12-08,SKU_001,9.0,0.0,,,,,,0.0
2024-12-15,SKU_001,5.0,0.0,,,,,,0.0
2024-12-22,SKU_001,3.0,0.0,,,,,,0.0
2024-12-29,SKU_001,5.0,0.0,,,,,,0.0
2025-01-05,SKU_001,2.0,3.0,,,,,,0.0
2025-01-12,SKU_001,3.0,1.0,,,,,,0.0
2025-01-19,SKU_001,8.0,5.0,,,,,,0.0
2025-01-26,SKU_001,7.0,4.0,,,,,,0.0
2025-02-02,SKU_001,5.0,7.0,,,,,,0.0
2025-02-09,SKU_001,3.0,5.0,,,,,,0.0
2025-02-16,SKU_001,4.0,5.0,,,,,,0.0
2025-02-23,SKU_001,4.0,6.0,,,,,,0.0
2025-03-02,SKU_001,6.0,5.0,,,,,,0.0
2025-03-09,SKU_001,6.0,6.0,,,,,,0.0
2025-03-16,SKU_001,1.0,5.0,,,,,,0.0
2025-03-23,SKU_001,10.0,3.0,,,,,,0.0
2025-03-30,SKU_001,2.0,2.0,,,,,,0.0
2025-04-06,SKU_001,0.0,4.0,,,,,,0.0
2025-04-13,SKU_001,2.0,1.0,,,,,,0.0
2025-04-20,SKU_001,3.0,5.0,,,,,,0.0
2025-04-27,SKU_001,5.0,5.0,,,,,,0.0
2025-05-04,SKU_001,4.0,4.0,,,,,,0.0
