date,sku_id,units_sold,revenue,unit_price,promo_flag
2024-01-01,SKU_003,2.0,11810.54,5905.27,1
2024-01-01,SKU_004,4.0,14145.16,3536.29,1
2024-01-01,SKU_006,2.0,3008.04,1504.02,1
2024-01-01,SKU_007,6.0,24930.96,4155.16,1
2024-01-01,SKU_008,1.0,1731.76,1731.76,1
2024-01-01,SKU_009,1.0,4933.02,4933.02,1
2024-01-01,SKU_011,1.0,3177.7,3177.7,1
2024-01-01,SKU_014,4.0,3955.84,988.96,1
2024-01-01,SKU_016,2.0,11232.42,5616.21,1
2024-01-01,SKU_018,1.0,3295.63,3295.63,1
2024-01-01,SKU_019,3.0,15074.37,5024.79,1
2024-01-01,SKU_020,5.0,3398.9,679.78,1
2024-01-01,SKU_021,1.0,5211.74,5211.74,1
2024-01-01,SKU_023,3.0,5134.17,1711.39,1
2024-01-01,SKU_024,1.0,6564.55,6564.55,1
2024-01-01,SKU_025,1.0,3566.73,3566.73,1
2024-01-01,SKU_026,2.0,7170.24,3585.12,1
2024-01-01,SKU_028,1.0,1630.12,1630.12,1
2024-01-01,SKU_029,4.0,7139.64,1784.91,1
2024-01-01,SKU_030,4.0,1580.64,395.16,1
2024-01-01,SKU_031,1.0,6118.51,6118.51,1
2024-01-01,SKU_032,6.0,13140.0,2190.0,1
2024-01-01,SKU_033,2.0,12490.4,6245.2,1
2024-01-01,SKU_035,13.0,53097.33,4084.41,1
2024-01-01,SKU_036,6.0,28651.44,4775.24,1
2024-01-01,SKU_037,3.0,3977.49,1325.83,1
2024-01-01,SKU_038,6.0,5312.4,885.4,1
2024-01-01,SKU_041,1.0,7731.26,7731.26,1
2024-01-01,SKU_042,1.0,6066.55,6066.55,1
2024-01-01,SKU_043,20.0,111774.6,5588.73,1
2024-01-01,SKU_045,1.0,3171.78,3171.78,1
2024-01-01,SKU_046,1.0,4558.9,4558.9,1
2024-01-01,SKU_048,2.0,4407.84,2203.92,1
2024-01-01,SKU_049,3.0,13989.78,4663.26,1
2024-01-01,SKU_050,5.0,26971.55,5394.31,1
2024-01-01,SKU_051,4.0,25487.68,6371.92,1
2024-01-01,SKU_052,3.0,3121.2,1040.4,1
2024-01-01,SKU_054,1.0,3702.55,3702.55,1
2024-01-01,SKU_055,1.0,2036.37,2036.37,1
2024-01-01,SKU_056,3.0,12766.95,4255.65,1
2024-01-01,SKU_057,2.0,6871.3,3435.65,1
2024-01-01,SKU_059,2.0,10228.98,5114.49,1
2024-01-01,SKU_060,5.0,27938.3,5587.66,1
2024-01-01,SKU_061,1.0,2524.58,2524.58,1
2024-01-01,SKU_064,1.0,7583.93,7583.93,1
2024-01-01,SKU_065,2.0,3666.42,1833.21,1
2024-01-01,SKU_066,2.0,845.34,422.67,1
2024-01-01,SKU_067,1.0,866.11,866.11,1
2024-01-01,SKU_068,4.0,12602.6,3150.65,1
2024-01-01,SKU_069,2.0,12116.56,6058.28,1
2024-01-01,SKU_070,20.0,117065.2,5853.26,1
2024-01-01,SKU_071,6.0,18146.7,3024.45,1
2024-01-01,SKU_072,1.0,4912.96,4912.96,1
2024-01-01,SKU_073,8.0,6803.36,850.42,1
2024-01-01,SKU_074,1.0,456.4,456.4,1
2024-01-01,SKU_075,1.0,5009.13,5009.13,1
2024-01-01,SKU_076,8.0,12884.88,1610.61,1
2024-01-01,SKU_077,13.0,11063.65,851.05,1
2024-01-01,SKU_078,7.0,13477.38,1925.34,1
2024-01-01,SKU_079,2.0,11777.46,5888.73,1
2024-01-01,SKU_080,3.0,6668.7,2222.9,1
2024-01-01,SKU_082,2.0,1812.32,906.16,1
2024-01-01,SKU_083,2.0,14607.22,7303.61,1
2024-01-01,SKU_084,6.0,22542.42,3757.07,1
2024-01-01,SKU_085,2.0,13998.72,6999.36,1
2024-01-01,SKU_086,1.0,4898.18,4898.18,1
2024-01-01,SKU_089,8.0,12797.28,1599.66,1
2024-01-01,SKU_090,1.0,2580.13,2580.13,1
2024-01-01,SKU_092,2.0,4232.18,2116.09,1
2024-01-01,SKU_094,2.0,1116.62,558.31,1
2024-01-01,SKU_095,5.0,22436.0,4487.2,1
2024-01-01,SKU_096,2.0,10708.98,5354.49,1
2024-01-01,SKU_097,12.0,36477.72,3039.81,1
2024-01-01,SKU_098,5.0,13013.95,2602.79,1
2024-01-01,SKU_099,17.0,61536.43,3619.79,1
2024-01-01,SKU_100,1.0,2888.4,2888.4,1
2024-01-01,SKU_101,1.0,1303.68,1303.68,1
2024-01-01,SKU_104,1.0,5777.3,5777.3,1
2024-01-01,SKU_105,1.0,4903.14,4903.14,1
2024-01-01,SKU_106,3.0,4986.54,1662.18,1
2024-01-01,SKU_107,1.0,4789.91,4789.91,1
2024-01-01,SKU_108,3.0,19651.05,6550.35,1
2024-01-01,SKU_111,2.0,8794.56,4397.28,1
2024-01-01,SKU_116,5.0,7399.85,1479.97,1
2024-01-01,SKU_117,2.0,14227.44,7113.72,1
2024-01-01,SKU_118,1.0,1776.0,1776.0,1
2024-01-01,SKU_119,1.0,1568.53,1568.53,1
2024-01-01,SKU_120,1.0,862.01,862.01,1
2024-01-01,SKU_122,1.0,6252.41,6252.41,1
2024-01-01,SKU_124,3.0,3733.41,1244.47,1
2024-01-01,SKU_125,,,5832.13,1
2024-01-01,SKU_128,4.0,13476.8,3369.2,1
2024-01-01,SKU_132,15.0,25548.3,1703.22,1
2024-01-01,SKU_133,1.0,5949.52,5949.52,1
2024-01-01,SKU_134,5.0,26159.9,5231.98,1
2024-01-01,SKU_135,1.0,3513.07,3513.07,1
2024-01-01,SKU_136,2.0,8579.38,4289.69,1
2024-01-01,SKU_137,3.0,11812.95,3937.65,1
2024-01-01,SKU_138,4.0,1990.24,497.56,1
2024-01-01,SKU_139,3.0,5058.96,1686.32,1
2024-01-01,SKU_140,1.0,5175.96,5175.96,1
2024-01-01,SKU_142,5.0,29657.6,5931.52,1
2024-01-01,SKU_143,2.0,11457.66,5728.83,1
2024-01-01,SKU_145,3.0,17543.52,5847.84,1
2024-01-01,SKU_146,4.0,16029.0,4007.25,1
2024-01-01,SKU_147,2.0,12246.88,6123.44,1
2024-01-01,SKU_150,3.0,5993.1,1997.7,1
2024-01-01,SKU_151,1.0,5755.98,5755.98,1
2024-01-01,SKU_152,2.0,6641.94,3320.97,1
2024-01-01,SKU_153,2.0,5987.4,2993.7,1
2024-01-01,SKU_154,3.0,15475.77,5158.59,1
2024-01-01,SKU_155,1.0,3960.05,3960.05,1
2024-01-01,SKU_156,3.0,14134.65,4711.55,1
2024-01-01,SKU_160,2.0,3286.08,1643.04,1
2024-01-01,SKU_161,4.0,14991.6,3747.9,1
2024-01-01,SKU_164,9.0,46851.93,5205.77,1
2024-01-01,SKU_165,1.0,2451.8,2451.8,1
2024-01-01,SKU_167,5.0,35078.5,7015.7,1
2024-01-01,SKU_168,3.0,5464.65,1821.55,1
2024-01-01,SKU_169,1.0,2861.93,2861.93,1
2024-01-01,SKU_170,4.0,13853.24,3463.31,1
2024-01-01,SKU_171,5.0,5127.75,1025.55,1
2024-01-01,SKU_173,2.0,5729.44,2864.72,1
2024-01-01,SKU_174,3.0,12235.77,4078.59,1
2024-01-01,SKU_175,1.0,1489.68,1489.68,1
2024-01-01,SKU_176,20.0,63001.8,3150.09,1
2024-01-01,SKU_179,,,2549.63,1
2024-01-01,SKU_180,7.0,24568.6,3509.8,1
2024-01-01,SKU_181,2.0,1888.98,944.49,1
2024-01-01,SKU_182,3.0,7019.88,2339.96,1
2024-01-01,SKU_183,1.0,1614.38,1614.38,1
2024-01-01,SKU_184,4.0,4892.04,1223.01,1
2024-01-01,SKU_185,2.0,11605.94,5802.97,1
2024-01-01,SKU_186,13.0,65266.89,5020.53,1
2024-01-01,SKU_187,16.0,33256.96,2078.56,1
2024-01-01,SKU_188,1.0,4864.49,4864.49,1
2024-01-01,SKU_189,1.0,1337.51,1337.51,1
2024-01-01,SKU_190,1.0,2592.45,2592.45,1
2024-01-01,SKU_191,1.0,3852.48,3852.48,1
2024-01-01,SKU_192,2.0,2607.72,1303.86,1
2024-01-01,SKU_193,1.0,6694.11,6694.11,1
2024-01-01,SKU_194,7.0,5871.95,838.85,1
2024-01-01,SKU_197,11.0,31675.16,2879.56,1
2024-01-01,SKU_198,2.0,10303.38,5151.69,1
2024-01-01,SKU_200,1.0,4863.74,4863.74,1
2024-01-02,SKU_003,2.0,14155.5,7077.75,0
2024-01-02,SKU_004,2.0,8492.8,4246.4,0
2024-01-02,SKU_005,1.0,769.19,769.19,0
2024-01-02,SKU_006,1.0,1845.04,1845.04,0
2024-01-02,SKU_007,4.0,21894.72,5473.68,0
2024-01-02,SKU_008,1.0,2180.36,2180.36,0
2024-01-02,SKU_014,2.0,2454.68,1227.34,0
2024-01-02,SKU_017,1.0,2494.82,2494.82,0
2024-01-02,SKU_018,1.0,3953.52,3953.52,0
2024-01-02,SKU_019,3.0,18867.87,6289.29,0
2024-01-02,SKU_020,4.0,3128.28,782.07,1
2024-01-02,SKU_023,1.0,2131.61,2131.61,0
2024-01-02,SKU_024,1.0,6949.39,6949.39,1
2024-01-02,SKU_026,1.0,4421.91,4421.91,0
2024-01-02,SKU_029,4.0,7942.68,1985.67,0
2024-01-02,SKU_030,4.0,1969.52,492.38,0
2024-01-02,SKU_031,1.0,7071.92,7071.92,0
2024-01-02,SKU_032,5.0,10999.85,2199.97,1
2024-01-02,SKU_034,,,6450.19,0
2024-01-02,SKU_035,10.0,45515.1,4551.51,0
2024-01-02,SKU_036,3.0,18425.88,6141.96,0
2024-01-02,SKU_037,2.0,3524.02,1762.01,0
2024-01-02,SKU_038,6.0,7052.16,1175.36,0
2024-01-02,SKU_039,2.0,6612.02,3306.01,0
2024-01-02,SKU_041,1.0,8180.29,8180.29,1
2024-01-02,SKU_043,6.0,39130.2,6521.7,0
2024-01-02,SKU_044,1.0,4535.79,4535.79,0
2024-01-02,SKU_045,3.0,11793.96,3931.32,0
2024-01-02,SKU_049,1.0,5765.3,5765.3,0
2024-01-02,SKU_050,6.0,38220.9,6370.15,0
2024-01-02,SKU_051,1.0,8195.13,8195.13,0
2024-01-02,SKU_052,3.0,4134.0,1378.0,0
2024-01-02,SKU_054,3.0,11616.78,3872.26,1
2024-01-02,SKU_057,2.0,7749.08,3874.54,0
2024-01-02,SKU_060,2.0,14429.58,7214.79,0
2024-01-02,SKU_061,1.0,3292.52,3292.52,0
2024-01-02,SKU_062,1.0,8973.39,8973.39,0
2024-01-02,SKU_063,1.0,2278.18,2278.18,0
2024-01-02,SKU_064,1.0,7409.32,7409.32,1
2024-01-02,SKU_066,2.0,1003.12,501.56,0
2024-01-02,SKU_067,1.0,1032.18,1032.18,0
2024-01-02,SKU_068,7.0,24954.02,3564.86,0
2024-01-02,SKU_069,2.0,13944.88,6972.44,1
2024-01-02,SKU_070,7.0,52417.33,7488.19,0
2024-01-02,SKU_071,5.0,19681.7,3936.34,0
2024-01-02,SKU_072,2.0,12727.9,6363.95,0
2024-01-02,SKU_073,5.0,5458.0,1091.6,0
2024-01-02,SKU_074,3.0,1546.26,515.42,0
2024-01-02,SKU_075,2.0,12132.2,6066.1,0
2024-01-02,SKU_076,5.0,8512.55,1702.51,1
2024-01-02,SKU_077,14.0,14906.22,1064.73,1
2024-01-02,SKU_078,3.0,6927.39,2309.13,0
2024-01-02,SKU_079,3.0,20410.68,6803.56,1
2024-01-02,SKU_080,2.0,5192.44,2596.22,0
2024-01-02,SKU_083,6.0,54914.82,9152.47,0
2024-01-02,SKU_084,1.0,4960.25,4960.25,0
2024-01-02,SKU_085,2.0,14538.58,7269.29,1
2024-01-02,SKU_089,4.0,7297.12,1824.28,1
2024-01-02,SKU_090,2.0,6325.44,3162.72,0
2024-01-02,SKU_094,5.0,3664.9,732.98,0
2024-01-02,SKU_095,7.0,37646.28,5378.04,0
2024-01-02,SKU_096,1.0,5646.73,5646.73,1
2024-01-02,SKU_097,8.0,29172.16,3646.52,0
2024-01-02,SKU_098,2.0,6050.18,3025.09,0
2024-01-02,SKU_099,7.0,33509.14,4787.02,0
2024-01-02,SKU_100,1.0,3659.7,3659.7,0
2024-01-02,SKU_101,3.0,4233.9,1411.3,1
2024-01-02,SKU_102,1.0,4661.49,4661.49,0
2024-01-02,SKU_106,1.0,2106.1,2106.1,0
2024-01-02,SKU_107,1.0,5578.31,5578.31,0
2024-01-02,SKU_108,1.0,8047.99,8047.99,0
2024-01-02,SKU_111,2.0,10765.88,5382.94,0
2024-01-02,SKU_113,1.0,1691.11,1691.11,0
2024-01-02,SKU_116,1.0,1826.64,1826.64,0
2024-01-02,SKU_117,2.0,16493.76,8246.88,0
2024-01-02,SKU_118,1.0,1816.83,1816.83,1
2024-01-02,SKU_119,1.0,1771.84,1771.84,0
2024-01-02,SKU_120,2.0,1968.62,984.31,0
2024-01-02,SKU_122,2.0,16244.74,8122.37,0
2024-01-02,SKU_124,1.0,1421.47,1421.47,0
2024-01-02,SKU_126,1.0,393.38,393.38,0
2024-01-02,SKU_127,1.0,1949.75,1949.75,0
2024-01-02,SKU_128,1.0,4175.75,4175.75,0
2024-01-02,SKU_132,8.0,15316.16,1914.52,0
2024-01-02,SKU_134,1.0,5950.24,5950.24,0
2024-01-02,SKU_135,1.0,4281.66,4281.66,0
2024-01-02,SKU_137,3.0,15388.44,5129.48,0
2024-01-02,SKU_140,,,6487.08,0
2024-01-02,SKU_142,2.0,13952.58,6976.29,0
2024-01-02,SKU_146,3.0,15743.67,5247.89,0
2024-01-02,SKU_147,1.0,6936.26,6936.26,0
2024-01-02,SKU_148,1.0,8061.89,8061.89,0
2024-01-02,SKU_150,1.0,2455.9,2455.9,0
2024-01-02,SKU_152,2.0,8052.24,4026.12,0
2024-01-02,SKU_155,2.0,9249.52,4624.76,0
2024-01-02,SKU_157,1.0,8462.06,8462.06,0
2024-01-02,SKU_158,1.0,1514.02,1514.02,0
2024-01-02,SKU_160,2.0,3976.46,1988.23,0
2024-01-02,SKU_163,1.0,2779.07,2779.07,0
2024-01-02,SKU_164,8.0,52695.12,6586.89,0
2024-01-02,SKU_167,1.0,8083.4,8083.4,0
2024-01-02,SKU_168,1.0,2252.1,2252.1,0
2024-01-02,SKU_169,1.0,3710.4,3710.4,0
2024-01-02,SKU_170,2.0,7721.32,3860.66,0
2024-01-02,SKU_171,1.0,1275.54,1275.54,0
2024-01-02,SKU_172,2.0,4797.22,2398.61,1
2024-01-02,SKU_173,3.0,10632.48,3544.16,0
2024-01-02,SKU_174,2.0,9154.22,4577.11,0
2024-01-02,SKU_175,4.0,7019.6,1754.9,0
2024-01-02,SKU_176,6.0,21794.7,3632.45,0
2024-01-02,SKU_177,1.0,817.55,817.55,0
2024-01-02,SKU_179,1.0,3373.13,3373.13,0
2024-01-02,SKU_180,2.0,8238.5,4119.25,1
2024-01-02,SKU_181,2.0,2397.04,1198.52,0
2024-01-02,SKU_184,1.0,1450.88,1450.88,0
2024-01-02,SKU_185,1.0,6646.24,6646.24,0
2024-01-02,SKU_186,5.0,29419.7,5883.94,0
2024-01-02,SKU_187,10.0,25998.8,2599.88,0
2024-01-02,SKU_188,2.0,10948.02,5474.01,0
2024-01-02,SKU_189,2.0,3476.6,1738.3,0
2024-01-02,SKU_191,2.0,9309.74,4654.87,0
2024-01-02,SKU_192,2.0,3092.1,1546.05,0
2024-01-02,SKU_194,2.0,1890.76,945.38,0
2024-01-02,SKU_197,2.0,6471.48,3235.74,0
2024-01-02,SKU_200,3.0,17874.87,5958.29,0
2024-01-03,SKU_001,2.0,13298.8,6649.4,0
2024-01-03,SKU_002,2.0,14738.18,7369.09,0
2024-01-03,SKU_004,2.0,8492.8,4246.4,0
2024-01-03,SKU_005,1.0,769.19,769.19,0
2024-01-03,SKU_007,3.0,16421.04,5473.68,0
2024-01-03,SKU_008,1.0,2180.36,2180.36,0
2024-01-03,SKU_009,1.0,5807.64,5807.64,0
2024-01-03,SKU_010,2.0,3910.6,1955.3,0
2024-01-03,SKU_011,1.0,4001.93,4001.93,0
2024-01-03,SKU_013,1.0,5870.1,5870.1,0
2024-01-03,SKU_014,2.0,2454.68,1227.34,0
2024-01-03,SKU_016,1.0,6357.93,6357.93,0
2024-01-03,SKU_017,1.0,2494.82,2494.82,0
2024-01-03,SKU_019,3.0,18867.87,6289.29,0
2024-01-03,SKU_020,2.0,1765.26,882.63,0
2024-01-03,SKU_023,2.0,4263.22,2131.61,0
2024-01-03,SKU_025,2.0,8311.34,4155.67,0
2024-01-03,SKU_026,1.0,4421.91,4421.91,0
2024-01-03,SKU_030,2.0,984.76,492.38,0
2024-01-03,SKU_032,12.0,29495.52,2457.96,0
2024-01-03,SKU_035,12.0,54618.12,4551.51,0
2024-01-03,SKU_036,4.0,24567.84,6141.96,0
2024-01-03,SKU_037,1.0,1504.0,1504.0,1
2024-01-03,SKU_038,11.0,12928.96,1175.36,0
2024-01-03,SKU_043,8.0,52173.6,6521.7,0
2024-01-03,SKU_045,1.0,3931.32,3931.32,0
2024-01-03,SKU_050,3.0,19110.45,6370.15,0
2024-01-03,SKU_051,2.0,16390.26,8195.13,0
2024-01-03,SKU_052,3.0,4134.0,1378.0,0
2024-01-03,SKU_054,4.0,16470.16,4117.54,0
2024-01-03,SKU_056,1.0,5109.45,5109.45,0
2024-01-03,SKU_057,2.0,7749.08,3874.54,0
2024-01-03,SKU_060,2.0,14429.58,7214.79,0
2024-01-03,SKU_067,2.0,2064.36,1032.18,0
2024-01-03,SKU_068,2.0,7129.72,3564.86,0
2024-01-03,SKU_070,6.0,44929.14,7488.19,0
2024-01-03,SKU_071,8.0,31490.72,3936.34,0
2024-01-03,SKU_073,11.0,10539.32,958.12,1
2024-01-03,SKU_074,3.0,1546.26,515.42,0
2024-01-03,SKU_076,1.0,1844.17,1844.17,0
2024-01-03,SKU_077,4.0,4514.92,1128.73,0
2024-01-03,SKU_078,6.0,13854.78,2309.13,0
2024-01-03,SKU_080,2.0,5192.44,2596.22,0
2024-01-03,SKU_082,2.0,2066.04,1033.02,0
2024-01-03,SKU_083,4.0,36609.88,9152.47,0
